Country,Code_x,Year,CO2_Emissions,Population,Energy_Use_per_person,Code_y,Nutrient nitrogen N (total) | 00003102 || Use per area of cropland | 005159 || kilograms per hectare,"GDP per capita, PPP (constant 2021 international $)",Fertilizer_vs_GDP
Brazil,BRA,1856,227193.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1857,269048.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1858,284547.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1859,372714.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1860,434898.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1861,410068.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1862,355327.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1863,425965.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1864,479584.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1865,571897.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1866,646022.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1867,554700.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1868,752482.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1869,605044.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1870,698167.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1871,844686.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1872,858380.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1873,1029011.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1874,996022.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1875,939750.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1876,843065.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1877,878429.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1878,949458.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1879,808030.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1880,923420.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1881,1031042.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1882,948135.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1883,1170254.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1884,1282615.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1885,1215464.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1886,1236031.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1887,1315565.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1888,1283198.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1889,1860401.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1890,1713533.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1891,2072020.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1892,2145624.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1893,1969636.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1894,2308266.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1895,2188105.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1896,2615588.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1897,2734326.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1898,2681303.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1899,2612972.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1900,2272218.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1901,2314927.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1902,2554500.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1903,2442213.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1904,2639233.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1905,2871745.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1906,3248124.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1907,3722012.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1908,3729627.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1909,3825869.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1910,4584790.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1911,5383972.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1912,5477784.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1913,6107222.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1914,4657949.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1915,3211753.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1916,2735087.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1917,2840131.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1918,2656656.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1919,2967940.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1920,3964006.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1921,2886595.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1922,4026874.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1923,4792903.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1924,5319118.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1925,5341588.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1926,5469600.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1927,6038804.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1928,6083169.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1929,6337248.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1930,5787529.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1931,4772610.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1932,4780363.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1933,5177471.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1934,5158075.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1935,5378230.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1936,5617306.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1937,6731251.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1938,7179338.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1939,5614746.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1940,5654414.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1941,6280670.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1942,5866699.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1943,6474923.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1944,5895771.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1945,6822912.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1946,7460241.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1947,8947467.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1948,7847465.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1949,7366800.0,139720658.5,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1950,19659072.0,53408551.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1951,21659348.0,55018849.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1952,24934310.0,56694872.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1953,25218440.0,58433756.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1954,29675626.0,60235125.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1955,34023692.0,62101393.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1956,36608456.0,64033997.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1957,35974080.0,66031498.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1958,39053930.0,68092148.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1959,39017080.0,70214470.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1960,46851820.0,72388124.0,39086.637,,85.595,41736.702000000005,
Brazil,BRA,1961,49136050.0,74605442.0,39086.637,BRA,1.58,41736.702000000005,
Brazil,BRA,1962,53613250.0,76865322.0,39086.637,BRA,1.42,41736.702000000005,
Brazil,BRA,1963,55523040.0,79164237.0,39086.637,BRA,1.72,41736.702000000005,
Brazil,BRA,1964,56626316.0,81488598.0,39086.637,BRA,1.38,41736.702000000005,
Brazil,BRA,1965,56279224.0,83817586.0,3267.4482,BRA,1.89,41736.702000000005,
Brazil,BRA,1966,64162424.0,86139356.0,3468.5674,BRA,1.88,41736.702000000005,
Brazil,BRA,1967,66032556.0,88446119.0,3500.2,BRA,2.77,41736.702000000005,
Brazil,BRA,1968,77224150.0,90741243.0,3895.539,BRA,3.7,41736.702000000005,
Brazil,BRA,1969,84088420.0,93045768.0,4146.475,BRA,4.15,41736.702000000005,
Brazil,BRA,1970,93488200.0,95375656.0,4887.1675,BRA,6.93,41736.702000000005,
Brazil,BRA,1971,102337050.0,97739280.0,5176.854,BRA,6.7,41736.702000000005,
Brazil,BRA,1972,114018824.0,100146794.0,5817.811,BRA,9.6,41736.702000000005,
Brazil,BRA,1973,132060776.0,102600970.0,6703.924,BRA,7.86,41736.702000000005,
Brazil,BRA,1974,143015700.0,105089675.0,7254.1904,BRA,8.54,41736.702000000005,
Brazil,BRA,1975,150326580.0,107619567.0,7457.2915,BRA,8.66,41736.702000000005,
Brazil,BRA,1976,154606980.0,110213353.0,7965.411,BRA,9.88,41736.702000000005,
Brazil,BRA,1977,162363360.0,112875287.0,8330.01,BRA,12.99,41736.702000000005,
Brazil,BRA,1978,177117180.0,115600943.0,8972.107,BRA,12.23,41736.702000000005,
Brazil,BRA,1979,187787150.0,118380819.0,9475.116,BRA,12.78,41736.702000000005,
Brazil,BRA,1980,186190690.0,121207451.0,9554.172,BRA,14.05,41736.702000000005,
Brazil,BRA,1981,171324430.0,124063113.0,9034.091,BRA,10.19,41736.702000000005,
Brazil,BRA,1982,171499700.0,126923156.0,9301.312,BRA,9.64,41736.702000000005,
Brazil,BRA,1983,165899790.0,129790081.0,9202.626,BRA,8.4,41736.702000000005,
Brazil,BRA,1984,167567460.0,132658861.0,9625.038,BRA,11.83,41736.702000000005,
Brazil,BRA,1985,180110740.0,135515593.0,10099.972,BRA,11.95,41736.702000000005,
Brazil,BRA,1986,197238400.0,138336371.0,10427.861,BRA,14.35,41736.702000000005,
Brazil,BRA,1987,205967680.0,141104946.0,10499.386,BRA,14.3,41736.702000000005,
Brazil,BRA,1988,207695260.0,143826357.0,10742.801,BRA,12.43,41736.702000000005,
Brazil,BRA,1989,212071060.0,146502975.0,10795.25,BRA,12.51,41736.702000000005,
Brazil,BRA,1990,218658000.0,149143223.0,10479.675,BRA,12.7,12633.288,
Brazil,BRA,1991,229394000.0,151724253.0,10703.902,BRA,13.55,12546.561,
Brazil,BRA,1992,233601000.0,154275077.0,10708.817,BRA,14.04,12271.979,
Brazil,BRA,1993,244306000.0,156794574.0,11035.176,BRA,18.56,12669.429,
Brazil,BRA,1994,254002000.0,159265011.0,11345.266,BRA,21.39,13202.931,
Brazil,BRA,1995,268678000.0,161735079.0,11828.174,BRA,20.48,13550.439,
Brazil,BRA,1996,289311000.0,164202549.0,12366.625,BRA,22.05,13641.63,
Brazil,BRA,1997,306949000.0,166661662.0,12895.613,BRA,24.88,13896.625,
Brazil,BRA,1998,317359000.0,169159651.0,13238.571,BRA,26.26,13737.703,
Brazil,BRA,1999,327256000.0,171641544.0,13225.068,BRA,27.72,13602.414,
Brazil,BRA,2000,340183000.0,174018278.0,13586.246,BRA,27.36,14005.348,
Brazil,BRA,2001,346165980.0,176301201.0,13068.835,BRA,26.44,14016.132,
Brazil,BRA,2002,347765020.0,178503485.0,13173.609,BRA,31.35,14265.905,
Brazil,BRA,2003,344645000.0,180622688.0,13211.707,BRA,35.54,14259.366,
Brazil,BRA,2004,361434000.0,182675144.0,13703.958,BRA,39.99,14911.261,
Brazil,BRA,2005,364371000.0,184688101.0,13910.277,BRA,33.21,15221.014,
Brazil,BRA,2006,368871000.0,186653099.0,14152.363,BRA,34.84,15657.4795,
Brazil,BRA,2007,390573000.0,188552311.0,14905.908,BRA,45.76,16440.584,
Brazil,BRA,2008,412638000.0,190367297.0,15424.676,BRA,41.55,17113.367,
Brazil,BRA,2009,389775000.0,192079958.0,15230.74,BRA,35.63,16939.441,
Brazil,BRA,2010,440269020.0,193701931.0,16462.07,BRA,45.13,18062.158,
Brazil,BRA,2011,462580000.0,195284736.0,16981.988,BRA,55.56,18627.81,
Brazil,BRA,2012,498309000.0,196876113.0,17312.078,BRA,50.02,18832.219,
Brazil,BRA,2013,532418020.0,198478290.0,17638.982,BRA,58.61,19241.506,
Brazil,BRA,2014,557901000.0,200085126.0,17870.57,BRA,65.0,19183.172,
Brazil,BRA,2015,529353020.0,201675534.0,17530.328,BRA,50.04,18357.068,
Brazil,BRA,2016,492748000.0,203218108.0,16983.99,BRA,51.68,17620.928,
